,ad,neg_emo
160,"migraines hurtthey are the worst because they dont care what youre doing who youre with or where youre going when they hit that means migraines can interrupt school activities time with friends and more
what a pain
thankfully there are people working to find better treatment outcomes for pediatric migraines using clinical trials learn more about clinical trials by visiting",1
161,most times we find ourselves in this constant struggle one which the only adversity is yourself you find yourself in a position where non existence screams bliss so you want to end it you want to end the struggle and find peace,1
162,"congress is still trying to pass new laws that would help china pull ahead of american businesses and hurt american consumers
this needs to stop immediately send a letter to congress now",1
163,"getting sick or hurt without  health insurance is expensive
it is too late to get insurance once you are already sick or hurt sign up now to avoid potential bills down the road
the affordable care act obamacare was passed in  so why do not you have coverage for doctors prescriptions hospitals and emergency rooms",1
164,while families are suffering through this crisis susan herrera voted to increase gas prices by over  cents we need a leader who will stand up for us not hurt us during hard times in the legislature i will oppose taxes that hurt families,1
165,let us hear it out from the finest psychiatrists to understand what it feels like to have schizophrenia and hope this webinar will have a meaningful impact on people with schizophrenia by allowing them to get a better access to care and less stigmatization,0
166,biden has not only embarrassed our nation on a global scale he has hurt our businesses and families with his disastrous policies we need real leadership that can stop his influence in arizona and provide relief our families so desperately need,1
167,abortions are likely to become illegal and women across the nation are fighting for control of their bodies experts argue black women will be hurt the most by this move but there are two crucial words that just might defy everyones expectations,1
168,implementing a curriculum throughout the state to protect our children against online predators,0
169,"my heart felt the all too familiar and cruel ache this past saturday when i learned of what happened in buffalo ive had to limit my exposure to details because it is too painful
as a black person ive spent my entire existence in predominantly white spaces so im intimately familiar with what it can feel like to see everyone continue about life seemingly unphased after traumatic events like this happen while to you the world seems like it is on fire
the expectation to carry on whether explicit or implicit coupled with the frequency of occurrence of these traumatic events can have you feeling a range of emotions including feeling numb or resigned",1
170,"congress new proposal would hurt american companies destroy american jobs and threaten national security
you need to act now click to tell congress not to allow chinese tech companies to pull ahead",1
171,"congress is trying to pass dangerous laws that would help china and hurt the us we need to fight back now
send a prewritten letter to congress  demand they defend america not china",1
172,"dave isay noticed people were feeling misunderstood judged and hurt by a lack of understanding
so he started storycorps  a nonprofit dedicated to bridging gaps through the power of storytelling",1
173,we need to prioritize critical community needs  like road maintenance and ambulance and emergency dispatch services spending  million on a risky municipal broadband network will dwarf those budgets and hurt our future,1
174,how do we deal with vaccines when so many black communities have been hurt by the pandemic,1
175,the toba centre helps kids who have been hurt who have been abused and who have witnessed abuse as someone who also experienced childhood violence i know how much these kids need a safe place to get help and heal so when the toba centre asked for help i quickly replied tell me how,1
176,when a girl is rescued from trafficking healing may feel like a distant idea the hurt and trauma fear and despair are frontofmind but soon hope starts to grow,1
177,"how are health and climate change connectedwatch our new video with professor gabrysch to find out more
check out our website for more information on global health research in germany",0
178,hear a policy expert discuss how prop  will impact the availability of pork  bacon and learn about other policies that will hurt farmers,1
179,as torontos former chief of police mark saunders knows how to keep our communities safe thats why mark saunders is running to be your next progressive conservative mpp,0
180,dr barbara sharief announces her social justice reform plan please check out our  second ad and look for it on your tv screen too,0
181,supervisor greg caput and i stand shoulder to shoulder im proud to have earned his trust as his appointee to stand in for him on the important issue of transportation lets finish building our trail  keep our rail by voting no on measure d,0
182,im honored to be the only candidate for sheriff thats endorsed by our police firefighters prosecutors veterans working families  key community members like roxann mccoy thank you,0
183,nurses teachers and planned parenthood know andrea rosenthal is the trusted choice to take action for our high desert communities join them in voting for andrea rosenthal by june th,0
184,what an honor and privilege it is to receive an endorsement from not only a close mentor but a dear friend thank you speaker mickelson,0
185,hey monrovia your votebymail ballot has arrived share with your neighbors and friends that you can vote up to  candidates for the monrovia city council by june th,0
186,"if corporate bought betsy johnson is elected she will reverse years of climate policy with the stroke of a pen
learn more",0
187,fargos june election will look a little different approval voting means you choose all the candidates that you approve of  whether thats one candidate or several,0
188,please go vote today between  am and  pm est at an advance poll near you,0
189,"you can help rescue bears like clara
she was found in a tiny dirty cage in a restaurant car park surrounded by piles of rubbish noise and car fumes
clara had been suffering here for over a decade likely ripped from her mother as a cub then trafficked into a horrendous life of constant bile extractions
thankfully she was rescued and brought home to our sanctuary in vietnam clara is now safe and no one will ever hurt her again
will you donate today to bring every last bile bear home",1
190,"this ramadan as israel intensifies its attacks against palestinians and the muslim holy sites we are committed to increasing our efforts against the occupation our work would not be possible without allah is grace first and foremost and it would most certainly not be possible without your generous support
today we ask you to continue to support us to ensure we are better positioned to help prevent a new massive and brutal israeli aggression against the palestinian people we will fight tooth and nail against the grim status quo of us complicity which perpetuates palestinian oppression by apartheid israel with our tax dollars",1
191,"during the first intifada the palestinian uprising against the israeli occupation of the west bank and gaza it was prohibited and considered a danger to public order to display the palestinian flag
women then played an important role in the political resistance by creating a new form of visual discourse they combined traditional motifs of tatreez with emblems of maps flags or political slogans",1
192,this giving tuesday you can give urgent relief to israels most vulnerable citizensincluding impoverished families elderly widows lonely refugees and more you can deliver food medicine assistance andmost of allhope to those in desperate need,1
193,this giving tuesday you can provide food medicine assistance andmost of allhope to many who are struggling in israel you can share gods love and goodwill with impoverished families elderly widows lonely refugees and more,1
194,"thousands of children throughout the land of israel have been affected and traumatized by brutal terror attacks the shiloh israel childrens fund needs your help to provide cuttingedge therapies to heal children affected by terror
donate today to help the children of israel",1
195,"ukraine needs your support
any donation you provide helps save ukraine and ukrainians",0
196,"help odessa help ukraine
your donations go directly to the dedicated suppliers authorized by the ukranian government",0
197,"hundreds have been killed and scores more inflicted with life changing injuries homes have been destroyed and families torn apart in heart breaking fashion life here has never been more difficult
our team and partner are on the ground providing critical support to those left homeless and in emergency shelters
please donate whatever you can today",1
198,end of month is tomorrow  less than  hours to hit our may fundraising goal now is the time to pitch in,0
199,seize the opportunity to position alberta for success now and into the future,0
