ad,moral
"Climate change, the pandemic, and unsustainable building materials have greatly impacted the housing market, resulting in staggering house prices, increased homelessness, and a lack of community.
Thankfully, Geoship is here to change that. Our bioceramic domes are:
- Affordable
- Sustainable
- Community-Oriented
- Zero Carbon",0
"STREAM NOW!
Having won over 22 international awards, Birth Time: the documentary is now available to stream right here, anywhere, anytime.
Exploring what it would take for women to emerge from their births feeling innately powerful, physically well, and emotionally safe.
It’s time for women’s needs at birth to be heard. #ItsTime",0
"This is how strongly I felt about this. I am not Palestinian and none in my family, I wrote this today because I feel it, especially being an Afghan. Our flags not only share the same colors but also the same turmoil, our people suffering at the hands of the same devil just different faces. I stand with Palestine!",0
"For 46 days, we offer you the opportunity to be active for the planet and those whoprotect it. It will start!",0
"Are you interested in environmental crime?
For all the latest news on this subject, subscribe to the Ambitus newsletter!
Each month, find a selection of articles on .The newsletter is only available in English at the moment 🇬🇧
",0
"Ukraine needs your support!
Any donation you provide helps save Ukraine and Ukrainians",0
"THIS IS A CALL FOR ACTION! No Dogs Left Behind needs YOU! We NEED your support now. Every penny counts. One dollar makes a difference.
We NEED you to DONATE NOW!",0
"President Toomas Hendrik Ilves is the Honourary Chair of the KESKUS International Estonian Centre Capital Campaign. Please join him in supporting a home for Estonians worldwide. To donate, please visit",0
Safe staffing is the LAW! Has your facility created a Staffing Committee yet? Join a town hall for nurses and direct caregivers to learn about a new law to help us advocate for our patients and practice.,1
"Imagine carrying a heavy jug of water home, knowing that after all your effort, it might make your family sick. Safe water at home gives women and their families time and health. Empower women with safe water and you can change their world.",1
2021 has been a record-breaking year for anti-abortion legislation — more than 100 abortion restrictions have been passed across the country. It’s more urgent now than ever that we defend our reproductive freedom. Join the fight to protect abortion access.,1
Food & Water Action is fighting to end factory farming for good. It’s the only way to end animal cruelty and stop toxic pollution throughout our entire food system. But we need your help to take on Big Agriculture and win!,1
"This Earth Day comes after one of the hottest years EVER on record.
Climate change is intensifying faster than before. There is no planet B: Make an urgent gift to protect our future ",1
"Ukraine needs your support!
Any donation you provide helps save Ukraine and Ukrainians! it's time to support of peace and democracy",1
"On the 24 Feb, Ukrainians woke up to the sound of explosions. Russia has announced a full-scale war. From that time on, the lives of Ukrainians are in danger. Russian troops are bombing and shelling numerous Ukrainian cities, towns and villages right now. They destroy our homes, shell kindergarten and orphanages. Many people can't leave bomb shelters because of constant attacks, and women give birth right there. 
Now, the Ukrainian army fights back to defend our country. Men and women join the ranks of volunteers to protect their hometowns and loved ones. Civilians unite to help each other and counteract Russia's fake news. Now, we are strong and united! And now more than ever, we need your help! Support the Ukrainian army to defend Ukraine and the world's peace!",1
"Every day, thousands of girls become child brides & are forced to say “I DO”
This #ValentinesDay, you can help them claim their right to say #IDONT.Join UNFPA to #EndChildMarriage and take action today  unf.pa/vday",1
"9-year-old Danylo is not only battling cancer but trying to survive through the war in #Ukraine.
Fleeing his home twice, getting a blood transfusion in a bunker, having micro-surgery on his lung during the bombing and not knowing if he will get to Poland in time for his next chemotherapy – none of it can take away Danylo's strength and determination.
“I am ready to fight for my life whether it is cancer or war.”
Children like Danylo have no time to lose. They need peace. NOW.",1
"Many neglected diseases are also climate-sensitive. The world’s most vulnerable populations will once again bear the biggest burden. It’s time to develop safe, effective, and affordable treatments for the most neglected.",1
"The number of out-of-school children in South Africa tripled during the COVID-19 pandemic.
When classrooms are closed, students miss out on more than learning – they miss out on nutritious food, time with friends and a safety net.",1
"There’s no time left for promises. Climate change is already affecting us and getting worse. But one solution can help RIGHT NOW: protecting forests.
Thanks to you, with our partners we've worked to protect millions of acres of forests over the last 35 years. Help us do more.",1
"Horror is unfolding in southern Madagascar; the world must not look away. If we don’t act now, the number of people facing catastrophe will double. Will you donate to help save lives?",1
"If we don't act now, in less than three decades, the world's oceans will contain more discarded plastic than fish 
Between now and June 8, join the fight against marine plastic pollution and #RunForTheOceans.
For every kilometer you run, walk, or wheelchair and log in the adidas Running app, @adidas and @parley.tv will clean up the equivalent weight of 10 plastic bottles, up to 500,000 pounds, from beaches and islands.",1
Join our discussion on LGBTIQ rights and Parliament’s call to declare the EU an LGBTIQ Freedom Zone. Ask your questions to members Maria Walsh and Evin Incir below,1
"ACT NOW: The world is watching in shock as the deadly coronavirus continues to spread. The exact origins are unknown but it’s clear that the wildlife trade poses a dire threat to public health. Please, help reduce the spread of disease by urging all countries to permanently ban the wildlife trade.",1
"There’s no time left for promises. Climate change is already affecting us and getting worse. But one solution can help RIGHT NOW: protecting forests.
Thanks to you, with our partners we've worked to protect millions of acres of forests over the last 35 years. Help us do more",1
The situation of women in Afghanistan has been deteriorating since the Taliban takeover. Parliament members have condemned Taliban’s focus on erasing women from public life and denying their most fundamental rights and call on them to ensure access to education for all Afghan women and girls.,1
"Being in the classroom is not just about learning.
Out-of-school children are at greater risk of violence, abuse and exploitation.
After two years of COVID-19 disruptions, governments must urgently get every child back into education.",1
"URGENT: Help us, help them. 40,000 animals have arrived in Poland alongside two million refugees from the ongoing conflict. They were forced to flee their homes to survive. Our partner organisation TOZ - Society for the Prevention of Cruelty to Animals, are doing the impossible to provide immediate help but they are low on funds. These animals desperately need your help. Please donate today.",1
" This is an 𝗘𝗠𝗘𝗥𝗚𝗘𝗡𝗖𝗬.
 Please listen to the cries of the Ummah.
 𝟭𝟬 𝗠𝗜𝗟𝗟𝗜𝗢𝗡 Afghans are living on the brink of 𝗙𝗔𝗠𝗜𝗡𝗘.
 Millions rely solely on humanitarian aid to survive.
𝗢𝗻𝗲 𝗨𝗺𝗺𝗮𝗵 are on the ground right now in and around 𝗔𝗳𝗴𝗵𝗮𝗻𝗶𝘀𝘁𝗮𝗻 providing 𝗘𝗺𝗲𝗿𝗴𝗲𝗻𝗰𝘆 𝗔𝗶𝗱 to those who are most in need this Ramadan. Don't forget the multiplied rewards for saving lives and feeding the fasting!
𝐃𝐎𝐍𝐀𝐓𝐄 𝐍𝐎𝐖",1
"YOU can make a difference this year. Donate NOW and for a limited time, your gift will have TRIPLE THE IMPACT to help millions of scared and abused animals who are suffering in silence, right now.
Your gift makes you a member—a valuable part of our mission to help animals who have no voice and need us the most. Will you help?",1
"Dear readers.
Russian Nazis do not stop exterminating the people of Ukraine.
Today, Russian Nazis shelled Kharkiv several times, including with banned cluster munitions for MLRS. It is known about 13 wounded and five dead, including children.
We ask you to write, call your politicians with a request to immediately increase and speed up the supply of weapons.
We are able to protect ourselves, and we will do it to the last breath.
Do not stand aside, help us protect our people.
",1
"Education risks becoming the greatest divider, not the greatest equalizer.
COVID-19 school closures have compounded challenges for children who were already behind — pushing learning even further out of reach.
They need support. Now.",1
"Shelling killed her mother.
Without an urgent end to war in #Ukraine, how many more innocent lives will be lost? How many more children wounded or traumatized?
Six-year-old Milana is recovering from surgery on her legs at a children's hospital in Kyiv after being injured in an attack. Thanks to dedicated doctors, her wounds will heal but the death of her mother will scar her for a lifetime.
As UNICEF delivers lifesaving medical supplies to hospitals across Ukraine, children need peace, now.
",1
"""I would like it all to end.""
Platon is distraught like many children after witnessing the horrors of war in #Ukraine.
As UNICEF ramps up support for children and their families fleeing violence amidst the COVID-19 pandemic, they need peace now.",1
